quote,author,category,hidden_words,choices,author_choices
Sometimes even to live is an act of courage.,Seneca,Roman Philosophy,live,"think,breathe,trust","Nero,Plato,Marcus Aurelius"
Luck is what happens when preparation meets opportunity.,Seneca,Roman Philosophy,"preparation,opportunity","fortune,chance|skill,chance|knowledge,opportunity",
"Religion is regarded by the common people as true, by the wise as false, and by rulers as useful.",Seneca,Roman Philosophy,Religion,"Science,Politics,National Pride","Marcus Aurelius,Augustus,Mark Antony"
We suffer more often in imagination than in reality,Seneca,Roman Philosophy,suffer,"live,learn,win","Plato,Julius Caesar,Augustus"
"Begin at once to live, and count each separate day as a separate life.",Seneca,Roman Philosophy,"day,life","moment,opportunity|year,life|fight,battle","Mark Antony,Caligula,Nero"
"If you have a garden and a library, you have everything you need.",Cicero,Roman Philosophy,"garden,library","wife,family|friend,family|cause,will","Julius Caesar,Augustus,Nero"
"It is easier to find men who will volunteer to die, than to find those who are willing to endure pain with patience.",Julius Caesar,Roman Philosophy,die,"struggle,work,kill","Cicero,Cleopatra,Nero"
The universe is transformation: life is opinion.,Marcus Aurelius,Roman Philosophy,opinion,"struggle,joy,temporary","Nero,Plato,Caligula"
Nothing happens to any man that he is not formed by nature to bear.,Marcus Aurelius,Roman Philosophy,nature,"himself,fate,God","Plato,Julius Caesar,Augustus"
Nowhere can man find a quieter or more untroubled retreat than in his own soul.,Marcus Aurelius,Roman Philosophy,soul,"head,family,friends","Caligula,Julius Caesar,Mark Antony"
"You have power over your mind-not outside events. Realize this, and you will find strength.",Marcus Aurelius,Roman Philosophy,mind,"fate,words,choices","Titus,Zesus,Thor"
Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill,Success,enthusiasm,"will,appetite,strength",
Never give in except to convictions of honor and good sense.,Winston Churchill,Success,"honor,good sense","humor,levity|duty,honor|love,patience",
Try not to become a man of success. Rather become a man of value.,Albert Einstein,Success,value,"knowledge,kindness,strength",
"I find that the harder I work, the more luck I seem to have.",Thomas Jefferson,Success,luck,"opportunities,chances,money",
Success is not final; failure is not fatal: It is the courage to continue that counts.,Winston Churchill,Success,courage,"will,choice,power",
The only limit to our realization of tomorrow will be our doubts of today.,Franklin D. Roosevelt,Success,doubts,"weakness,sloth,acquiescence",
"The successful warrior is the average man, with laser-like focus.",Bruce Lee,Success,laser-like,"tight,on-going,powerful",
"If you can dream it, you can do it.",Walt Disney,Success,dream,"believe,see,plan",
We are all insects. Groping towards something terrible or divine.,"Philip K. Dick, The Man in the High Castle",Existential,"terrible,divine","weak,powerful|useless,foundational|joyous,saddening",
Life has no meaning the moment you lose the illusion of being eternal.,Jean-Paul Sartre,Existential,eternal,"material,in control,special",
We do not know what we want and yet we are responsible for what we are - that is the fact.,Jean-Paul Sartre,Existential,responsible,"seen,pained,judged",
I took a test in Existentialism. I left all the answers blank and got 100.,Woody Allen,Existential,Existentialism,"Comedy,Stoicism,History",
All life is an experiment. The more experiments you make the better.,Ralph Waldo Emerson,Existential,"experiment,experiments","test,mistakes|joke,laughs|battle,fights",
"There is something infantile in the presumption that somebody else has a responsibility to give your life meaning and point? The truly adult view, by contrast, is that our life is as meaningful, as full and as wonderful as we choose to make it.",Richard Dawkins,Existential,adult,"responsible,reasonable,sane",
For small creatures such as we the vastness is bearable only through love.,Carl Sagan,Existential,vastness,"universe,journey,void",
"Smooth and smiling faces everywhere, but ruin in their eyes.",Jean-Paul Sartre,Existential,ruin,"pain,despair,joy",
Society cares for the individual only so far as he is profitable.,Simone De Beauvoir,Existential,profitable,"useful,appeasing,pliable",
"When an individual is kept in a situation of inferiority, the fact is that he does become inferior.",Simone De Beauvoir,Existential,"inferiority, inferior","weakness,weak|strength,strong|power,corrupt",
I opened myself to the gentle indifference of the world.,Albert Camus,Existential,indifference,"hope,power,strength",
"The world is, of course, nothing but our conception of it.",Anton Chekhov,Existential,conception,"hope,vision,view",
Convictions are more dangerous foes of truth than lies.,Nietzsche,Existential,Convictions,"Religions,Nations,Doubts",
Youth ends when egotism does; maturity begins when one lives for others.,"Hermann Hesse, Gertrude.",Existential,egotism,"joy,discovery,play",
There is no reality except in action.,Jean-Paul Sartre,Existential,action,"belief,self,perception",
We love the things we love for what they are.,Robert Frost,Poetry,"love,love","hate,hate|fight,hate|love,hate",
"At the touch of a lover, everyone becomes a poet.",Plato,Poetry,lover,"friend,mother,dog",
I have loved the stars too fondly to be fearful of the night.,Sarah Williams,Poetry,stars,"moon,bats,dark",
"This is the way the world ends
Not with a bang but a whimper.",T.S. Eliot,Poetry,"bang,whimper","shout,silence|battle,stillness|laugh,cry",
"Because I could not stop for Death
He kindly stopped for me
The Carriage held but just Ourselves
And Immortality.",Emily Dickinson,Poetry,Death,"Love,Joy,Fate",
April is the cruellest month,T.S. Eliot,Poetry,cruellest,"ugliest,holiest,joyous",
I will show you fear in a handful of dust,T.S. Eliot,Poetry,fear,"hope,pain,power",
I have measured out my life with coffee spoons,T.S. Eliot,Poetry,"coffee,spoons","hopeful,sighs|dead,leaves|last,chances",
Humankind cannot bear very much reality,T.S. Eliot,Poetry,reality,"despair,complexity,ambiguity",
"We could all have been killed-or worse, expelled",Hermione Granger,Harry Potter,expelled,"exiled,discovered,embarrassed",
One can never have enough socks,Albus Dumbledore,Harry Potter,socks,"lemon drops,robes,wands",
Alas! Ear wax!,Albus Dumbledore,Harry Potter,"Ear,wax","Good,eats|Quick,bird|Free,snacks",
Yer a wizard Harry.,Hagrid,Harry Potter,wizard,"joker,friend,fighter",
It does not do well to dwell on dreams and forget to live,Albus Dumbledore,Harry Potter,"dreams,live","hope,try|regret,live|weakness,fight",
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends",Albus Dumbledore,Harry Potter,friends,"family,elders,countryman ",
Fear of a name only increases fear of the thing itself,Hermione Granger,Harry Potter,name,"spell,power,subject",
"It is our choices, Harry, that show what we truly are, far more than our abilities",Albus Dumbledore,Harry Potter,choices,"outcomes,dreams,wishes",
"Fame's a fickle friend, Harry.",Gilderoy Lockhart,Harry Potter,Fame's,"Power's,Humor's,Magic's",
I solemnly swear I am up to no good.,Harry Potter,Harry Potter,good,"mischef,bad,evil",
"We are only as strong as we are united, as weak as we are divided.",Albus Dumbledore,Harry Potter,"united,divided","prepared,unready|believing,doubting|powerful,feeble",
"Just because it's taken you three years to notice, Ron, doesn't mean no one else has spotted I'm a girl!",Hermione Granger,Harry Potter,girl,"witch,genius,muggle",
"It is the unknown we fear when we look upon death and darkness, nothing more.",Albus Dumbledore,Harry Potter,unknown,"finality,loss,alienation",
Just because you have the emotional range of a teaspoon doesn't mean we all have.,Hermione Granger,Harry Potter,teaspoon,"frog,sandwich,toliet",
"I will build a great, great wall on our southern border, and I will have Mexico pay for that wall. Mark my words.",Donald Trump,Trump,Mexico,"America,China,Texas",
"I will be phenomenal to the women. I mean, I want to help women.",Donald Trump,Trump,"women,women","americans,americans|latinos,latinos|whites,whites",
"It's really cold outside, they are calling it a major freeze, weeks ahead of normal. Man, we could use a big fat dose of global warming!",Donald Trump,Trump,"global,warming","heat,waves|christmas,cheer|winter,preparedness",
"No matter what you do - guns, no guns - it doesn't matter. You have people that are mentally ill. And they're gonna come through the cracks. And they're going to do things that people will not even believe are possible.",Donald Trump,Trump,"guns,guns","help,help|beer,beer|money,money",
"When you see the other side chopping off heads, waterboarding doesn't sound very severe.",Donald Trump,Trump,waterboarding,"torture,sanctions,ridicule",
"To be blunt, people would vote for me. They just would. Why? Maybe because I'm so good looking.",Donald Trump,Trump,"good,looking","very,smart|super,smart|hugely,strong",
"I never attacked him on his looks, and believe me, there's plenty of subject matter right there.",Trump on Rand Paul,Trump,looks,"positions,intelligence,history",
"I look very much forward to showing my financials, because they are huge.",Donald Trump,Trump,huge,"impressive,powerful,shiny",
All of the women on The Apprentice flirted with me - consciously or unconsciously. That's to be expected.,Donald Trump,Trump,flirted,"fought,laughed,danced",
"Certain guys tell me they want women of substance, not beautiful models. It just means they can't get beautiful models.",Donald Trump,Trump,substance,"knowledge,wisdom,means",
I could stand in the middle of 5th Avenue and shoot somebody and I wouldn't lose voters.,Donald Trump,Trump,shoot,"slap,kick,harass",
You could see there was bloody coming out of her eyes. Blood coming out of her wherever.,Donald Trump,Trump,wherever,"nose,mouth,wound",
Despite the constant negative press covfefe,Donald Trump,Trump,covfefe,"coverage,spin,cycle",
What you're seeing and what you're reading is not what's happening,Donald Trump,Trump,happening,"real,important,true",
"Show me someone without an ego, and I'll show you a loser.",Donald Trump,Trump,loser,"saint,guru,winner",
Do or do not. There is no try.,Yoda,Star Wars,try,"mistake,struggle,point",
"Fear leads to anger, anger leads to hate, hate leads to suffering.",Yoda,Star Wars,suffering,"tragedy,despair,destruction",
"Why, you stuck-up half-witted scruffy-looking nerf herder.",Princess Leia,Star Wars,"nerf,herder","weak,man|crock,pilot|star,gazer",
"Laugh it up, fuzzball!",Han Solo,Star Wars,fuzzball,"joker,dumbo,werido",
Would somebody get this big walking carpet out of my way?,Princess Leia,Star Wars,carpet,"muscle,fridge,dog",
There's always a bigger fish.,Qui-Gon Jinn,Star Wars,fish,"man,dog,problem",
These aren't the droids you're looking for.,Obi-Wan Kenobi,Star Wars,droids,"people,fish,jedi",
Women always figure out the truth. Always.,Han Solo,Star Wars,Women,"Jedi,Droids,Inquisitors",
I find your lack of faith disturbing.,Darth Vader,Star Wars,faith,"competence,loyalty,strength",
Never tell me the odds.,Han Solo,Star Wars,odds,"problem,chances,probabilities",
Let the past die. Kill it if you have to.,Kylo Ren,Star Wars,past,"friendship,anger,pain",
Who's the more foolish? The fool or the fool who follows him?,Obi-Wan Kenobi,Star Wars,follows,"fights,challenges,likes",
Be careful not to choke on your aspirations.,Darth Vader,Star Wars,choke,"stumble,focus,lose",
Stay on target.,Gold Five,Star Wars,target,"course,plan,track",
The leading cause of death among fashion models is falling through street grates.,Dave Barry,Humorist Dave Barry,"fashion,models","nba,players|college,professors|farm,hands",
People who want to share their religious views with you almost never want you to share yours with them.,Dave Barry,Humorist Dave Barry,religious,"abortion,political,sports",
"Have you noticed that whatever sport you're trying to learn, some earnest person is always telling you to keep your knees bent?",Dave Barry,Humorist Dave Barry,"knees,bent","head,up|legs,loose|eyes,forward",
Camping is nature's way of promoting the motel business.,Dave Barry,Humorist Dave Barry,Camping,"Rain,Snow,Wind",
"Although golf was originally restricted to wealthy, overweight Protestants, today it's open to anybody who owns hideous clothing.",Dave Barry,Humorist Dave Barry,golf,"tennis,bowling,soccer",
"If you had to identify, in one word, the reason why the human race has not achieved, and never will achieve, its full potential, that word would be 'meetings'.",Dave Barry,Humorist Dave Barry,meetings',"television','sex','buffets'",
"It is inhumane, in my opinion, to force people who have a genuine medical need for coffee to wait in line behind people who apparently view it as some kind of recreational activity.",Dave Barry,Humorist Dave Barry,coffee,"heroin,chocolate,books",
"Hobbies of any kind are boring except to people who have the same hobby. This is also true of religion, although you will not find me saying so in print.",Dave Barry,Humorist Dave Barry,religion,"kids,books,nationality",
"The metric system did not really catch on in the States, unless you count the increasing popularity of the nine-millimeter bullet.",Dave Barry,Humorist Dave Barry,"metric,system","gun,culture|war,games|squid,game",
What I look forward to is continued immaturity followed by death.,Dave Barry,Humorist Dave Barry,immaturity,"listlessness,riches,pain",
"Meetings are an addictive, highly self-indulgent activity that corporations and other large organizations habitually engage in only because they cannot actually masturbate.",Dave Barry,Humorist Dave Barry,masturbate,"communicate,learn,play",
Scientists now believe that the primary biological function of breasts is to make males stupid.,Dave Barry,Humorist Dave Barry,breasts,"farts,ears,toes",
"Fishing is boring, unless you catch an actual fish, and then it is disgusting.",Dave Barry,Humorist Dave Barry,disgusting,"exciting,delicious,wonderful",
You can only be young once. But you can always be immature.,Dave Barry,Humorist Dave Barry,immature,"funny,energetic,silly",
Bill Gates is a very rich man today... and do you want to know why? The answer is one word: versions.,Dave Barry,Humorist Dave Barry,versions,"software,windows,word",
Life is anything that dies when you stomp on it.,Dave Barry,Humorist Dave Barry,dies,"yells,laughs,fights",
The word user is the word used by the computer professional when they mean idiot.,Dave Barry,Humorist Dave Barry,idiot,"customer,learner,operator",
Be good and you will be lonesome.,Mark Twain,Mark Twain,lonesome,"happy,satisfied,bored",
"Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.",Mark Twain,Mark Twain,ambitions,"friends,status,hobbies",
Classic'-a book which people praise and don't read.,Mark Twain,Mark Twain,"don't,read","share,often|forget,about|hate,learning",
"Never argue with stupid people, they will drag you down to their level and then beat you with experience.",Mark Twain,Mark Twain,experience,"wisdom,words,insults",
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,Mark Twain,"sleepy,conscience","hot,wife|big,house|trusty,horse",
The secret of success is making your vocation your vacation.,Mark Twain,Mark Twain,"vocation,vacation","family,friends|education,focus|business,goal",
"If you tell the truth, you don't have to remember anything.",Mark Twain,Mark Twain,remember,"tell,show,argue",
I have never let my schooling interfere with my education.,Mark Twain,Mark Twain,schooling,"family,pride,circumstances",
A clear conscience is the sure sign of a bad memory.,Mark Twain,Mark Twain,"bad,memory","good,life|virtuous,life|strong,family",
Wrinkles should merely indicate where the smiles have been.,Mark Twain,Mark Twain,smiles,"crows,challenges,battles",
Man is the only animal that blushes. Or needs to.,Mark Twain,Mark Twain,blushes,"thinks,trusts,lies",
Honor is a harder master than law.,Mark Twain,Mark Twain,Honor,"Loyalty,Love,Humor",
Character is the architect of achievements.,Mark Twain,Mark Twain,architect,"wellspring,worker,builder",
The lack of money is the root of all evil.,Mark Twain,Mark Twain,lack,"love,lust,fear",
Travel is fatal to prejudice.,Mark Twain,Mark Twain,prejudice,"boredom,health,wealth",
"Age is an issue of mind over matter. If you don't mind, it doesn't matter.",Mark Twain,Mark Twain,Age,"Money,Power,Abuse",
I can live for two months on a good compliment.,Mark Twain,Mark Twain,compliment,"steak,joke,book",
We have the best government that money can buy.,Mark Twain,Mark Twain,government,"people,food,science",
"Beware; for I am fearless, and therefore powerful.",Monster,Frankenstein,fearless,"dead,intelligent,strong",
"Life, although it may only be an accumulation of anguish, is dear to me, and I will defend it.",Monster,Frankenstein,anguish,"time,frustration,memory",
"If I cannot inspire love, I will cause fear!",Monster,Frankenstein,"love,fear","friendship,anxiety|adolation,death|trust,destruction",
"I ought to be thy Adam, but I am rather the fallen angel...",Monster,Frankenstein,Adam,"friend,pride,discovery",
"I was benevolent and good; misery made me a fiend. Make me happy, and I shall again be virtuous.",Monster,Frankenstein,misery,"strife,anxiety,loss",
The fallen angel becomes a malignant devil. Yet even that enemy of God and man had friends and associates in his desolation; I am alone.,Monster,Frankenstein,devil,"human,cancer,tumor",
The companions of our childhood always possess a certain power over our minds which hardly any later friend can obtain.,Frankenstein,Frankenstein,childhood,"family,struggle,avocation",
"But it was all a dream; no Eve soothed my sorrows nor shared my thoughts; I was alone. I remembered Adam's supplication to his Creator. But where was mine? He had abandoned me, and in the bitterness of my heart I cursed him.",Monster,Frankenstein,Eve,"friend,lover,angel",
Nothing is so painful to the human mind as a great and sudden change.,Frankenstein,Frankenstein,change,"loss,confusion,emotion",
Sir Isaac Newton is said to have avowed that he felt like a child picking up shells beside the great and unexplored ocean of truth.,Frankenstein,Frankenstein,truth,"humanity,wonder,power",
Something is rotten in the state of Denmark.,Marcellus,"Wiliam Shakespeare, Hamlet",Denmark,"England,Istanbul,Spain",
"There is nothing either good or bad, but thinking makes it so.",Hamlet,"Wiliam Shakespeare, Hamlet",thinking,"wishing,hoping,doing",
"There are more things in Heaven and Earth, Horatio, than are dreamt of in your philosophy.",Hamlet,"Wiliam Shakespeare, Hamlet",philosophy,"mind,sleep,ken",
Brevity is the soul of wit.,Polonius,"Wiliam Shakespeare, Hamlet",Brevity,"Knowledge,Humor,Kindness",
"One may smile, and smile, and be a villain.",Hamlet,"Wiliam Shakespeare, Hamlet",villain,"friend,saboteur,killer",
"God hath given you one face, and you make yourself another.",Hamlet,"Wiliam Shakespeare, Hamlet",face,"family,mind,heart",
To be or not to be that is the question.,Hamlet,"Wiliam Shakespeare, Hamlet","be,be","live,live|fight,fight|kill,kill",
"A little more than kin, a little less than kind.",Hamlet,"Wiliam Shakespeare, Hamlet",kin,"family,foe,magic",
"Alas, poor Yorick! I knew him, Horatio.",Hamlet,"Wiliam Shakespeare, Hamlet",Yorick,"Father,Fredrick,Frans",
You can always count on Americans to do the right thing - after they've tried everything else.,Winston Churchill,America,Americans,"Presidents,Germans,Men",
Envy is the central fact of American life.,Gore Vidal,America,Envy,"Strife,Anxiety,Humor",
"Most of American life consists of driving somewhere and then returning home, wondering why the hell you went.",John Updike,America,driving,"walking,running,flying",
"The surface of American life looks smooth, prosperous, peaceful. But underneath, fault-line shifts in family and work life have led us into what some have called 'advanced insecurity.'",Arlie Russell Hochschild,America,insecurity,"capitalism,denial,prosperity",
Gender is probably the most restricting force in American life.,Gloria Stein,America,Gender,"Poverty,Education,Law",
"Vietnam was the defining event for my generation. It spilled over into all facets of American life - into music, into the pulpits, in churches of our country. It spilled over into the city streets, police forces. And even if you were born late in the generation, Vietnam was still part of your childhood.",Tim O'Brien,America,Vietnam,"Woodstock,9/11,Independence",
There is a paranoid streak in American life. Radio talk show hosts tend to foment that paranoid streak in American life.,Alan Dershowitz,America,"paranoid,paranoid","violent,violent|silly,silly|stupid,stupid",
America is the only country that went from barbarism to decadence without civilization in between.,Oscar Wilde,America,decadence,"triumph,capitalism,empire",
"Every other nation has folk traditions of men who were poor but extremely wise and virtuous, and therefore more estimable than anyone with power and gold. No such tales are told by the American poor.","Kurt Vonnegut, Slaughterhouse-Five",America,"poor,poor","weak,weak|blind,blind|sick,sick",
"Remember, remember always, that all of us, and you and I especially, are descended from immigrants and revolutionists.",Franklin D. Roosevelt,America,immigrants,"glory,struggle,fighters",
"In America, anyone can become president. That's the problem.",George Carlin,America,president,"rich,powerful,famous",
"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.",Harry S Truman,America,"fear,courage","failure,success|weakness,strength|cruelty,mercy",
Europe was created by history. America was created by philosophy.,Margaret Thatcher,America,philosophy,"men,God,commerce",
It's safe to assume that by 2085 guns will be sold in vending machines but you won't be able to smoke anywhere in America.,"David Sedaris, When You Are Engulfed in Flames",America,guns,"pot,condoms,phones",
Those who do not complain are never pitied.,Mrs. Bennet,Pride and Prejudice,complain,"suffer,work,lie",
Think only of the past as its remembrance gives you pleasure.,Elizabeth Bennet,Pride and Prejudice,pleasure,"pause,strength,knowledge",
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",Jane Austen,Pride and Prejudice,wife,"dog,house,friend",
Happiness in marriage is entirely a matter of chance.,Charlotte Lucas,Pride and Prejudice,chance,"determination,humilty,compromise",
"There is, I believe, in every disposition a tendency to some particular evil-a natural defect, which not even the best education can overcome.",Darcy,Pride and Prejudice,evil,"mistake,habit,path",
My courage always rises at every attempt to intimidate me.,Elizabeth Bennet,Pride and Prejudice,courage,"wit,smile,hand",
"It is particularly incumbent on those who never change their opinion, to be secure of judging properly at first.",Elizabeth Bennet,Pride and Prejudice,opinion,"course,friendships,desires",
"For what do we live, but to make sport for our neighbors, and laugh at them in our turn?",Mr. Bennet,Pride and Prejudice,neighbors,"country,pets,women",
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",Darcy,Pride and Prejudice,matrimony,"anger,loss,lust",
Do anything rather than marry without affection.,Jane Bennet,Pride and Prejudice,affection,"money,cause,assurances",
"My good opinion once lost, is lost forever.",Darcy,Pride and Prejudice,"good,opinion","great,weath|strong,will|primary,focus",
There is nothing more deceptive than an obvious fact.,"Arthur Conan Doyle, The Boscombe Valley Mystery",Sherlock Holmes,fact,"mistake,clue,remark",
Mediocrity knows nothing higher than itself; but talent instantly recognizes genius.,"Arthur Conan Doyle, The Valley of Fear",Sherlock Holmes,itself,"foolishness,normalcy,mediocrity",
"You have a grand gift for silence, Watson. It makes you quite invaluable as a companion.","Arthur Conan Doyle, The Complete Sherlock Holmes",Sherlock Holmes,silence,"candor,stupidity,gullibility",
What you do in this world is a matter of no consequence. The question is what can you make people believe you have done.,"Arthur Conan Doyle, A Study in Scarlet",Sherlock Holmes,believe,"accept,see,forget",
The game is afoot.,"Arthur Conan Doyle, Adventure of the Abbey Grange",Sherlock Holmes,afoot,"begun,started,dangerous",
"To a great mind, nothing is little.","Arthur Conan Doyle, A Study in Scarlet",Sherlock Holmes,little,"important,invisible,undiscovered",
"Education never ends, Watson. It is a series of lessons, with the greatest for the last.","Arthur Conan Doyle, His Last Bow",Sherlock Holmes,Education,"Life,Friendship,Crime",
"Excellent!"" I cried. ""Elementary,"" said he.","Arthur Conan Doyle, The Memoirs of Sherlock Holmes",Sherlock Holmes,Elementary,"Wonderful,Excellent,Quite",
"If more of us valued food and cheer and song above hoarded gold, it would be a merrier world.",J.R.R. Tolkien,Food,gold,"power,money,knowledge",
A balanced diet is a cookie in each hand.,Barbara Johnson,Food,cookie,"book,carrot,glass",
People who love to eat are always the best people.,Julia Child,Food,best,"worst,fattest,happiest",
"If you really want to make a friend, go to someone's house and eat with him...the people who give you their food give you their heart.",Cesar Chavez,Food,heart,"friendship,love,soul",
Ice cream is exquisite. What a pity it isn't illegal.,Voltaire,Food,illegal,"everywhere,hot,sour",
It's okay to eat fish because they don't have any feelings.,Kurt Cobain,Food,fish,"people,dogs,vegetables",
"So long as you have food in your mouth, you have solved all questions for the time being.",Franz Kafka,Food,solved,"paused,delayed,minimized",
A crust eaten in peace is better than a banquet partaken in anxiety.,Aesop,Food,"peace,anxiety","Rome,nature|friendship,sorrow|haste,malaise",
A waffle is like a pancake with a syrup trap.,Mitch Hedberg,Food,syrup,"finger,sugar,mouth",
He was a bold man that first ate an oyster.,Jonathan Swift,Food,oyster,"spider,bannana,apple",
"After a good dinner one can forgive anybody, even one's own relatives.",Oscar Wilde,Food,relatives,"friends,kids,schoolmates",
My fake plants died because I did not pretend to water them.,Mitch Hedberg,Comedian Mitch Hedberg,pretend,"try,remember,rush",
A severed foot is the perfect stocking stuffer.,Mitch Hedberg,Comedian Mitch Hedberg,"stocking,stuffer","white,elephant|anniversary,gift|lucky,charm",
Every book is a children's book if the kid can read!,Mitch Hedberg,Comedian Mitch Hedberg,children's,"fun,picture,little",
"I used to do drugs. I still do, but I used to, too.",Mitch Hedberg,Comedian Mitch Hedberg,"do,drugs","walk,dogs|run,fast|sleep,late",
Dogs are forever in the push-up position.,Mitch Hedberg,Comedian Mitch Hedberg,push-up,"sitting,doggy,wolf",
Fettucini alfredo is macaroni and cheese for adults.,Mitch Hedberg,Comedian Mitch Hedberg,"Fettucini,alfredo","Shrimp,scampi|Spaghetti,bolognese|Rice,pilaf",
Why are there no during pictures.,Mitch Hedberg,Comedian Mitch Hedberg,during,"becoming,after,before",
"I would imagine that if you could understand Morse code, a tap dancer would drive you crazy.",Mitch Hedberg,Comedian Mitch Hedberg,"tap,dancer","mouse,trap|loose,screw|rattling,door",
"I'm against picketing, but I don't know how to show it.",Mitch Hedberg,Comedian Mitch Hedberg,picketing,"drugs,unions,violence",
I think animal crackers make people think that all animals taste the same.,Mitch Hedberg,Comedian Mitch Hedberg,taste,"look,feel,are",
I do not fear computers. I fear lack of them.,Isaac Asimov,Computers,computers,"robots,people,dogs",
"A computer once beat me at chess, but it was no match for me at kick boxing.",Emo Philips,Computers,"kick,boxing","team,charades|horse,racing|fast,talking",
Computer Science is no more about computers than astronomy is about telescopes.,Edsger W. Dijkstra,Computers,telescopes,"religion,moons,people",
Computers are like Old Testament gods; lots of rules and no mercy.,Joseph Campbell,Computers,"rules,mercy","violence,mercy|contradictions,logic|pain,recourse",
Man is still the most extraordinary computer of all.,John F. Kennedy,Computers,Man,"Mac,Windows,Chess",
Computers are useless. They can only give you answers.,Pablo Picasso,Computers,answers,"problems,data,headaches",
"Treat your password like your toothbrush. Don't let anybody else use it, and get a new one every six months.",Clifford Stoll,Computers,toothbrush,"car,toliet,underware",
"In short, software is eating the world.",Marc Andreessen,Computers,software,"money,disease,capital",
"Right now, computers, which are supposed to be our servant, are oppressing us.",Jef Raskin,Computers,oppressing,"distracting,killing,hampering",
"Everybody should learn to program a computer, because it teaches you how to think.",Steve Jobs,Computers,think,"type,learn,joke",
"Computers are good at following instructions, but not at reading your mind.",Donald Knuth,Computers,instructions,"trends,feelings,data",