quote,author,category,hidden_words,choices
Sometimes even to live is an act of courage.,Seneca,Roman Philosophy,live,"think,breathe,trust"
Luck is what happens when preparation meets opportunity.,Seneca,Roman Philosophy,"preparation,opportunity","fortune,chance|skill,chance|knowledge,opportunity"
"Religion is regarded by the common people as true, by the wise as false, and by rulers as useful.",Seneca,Roman Philosophy,Religion,"Science,Politics,National Pride"
We suffer more often in imagination than in reality,Seneca,Roman Philosophy,suffer,"live,learn,win"
"Begin at once to live, and count each separate day as a separate life.",Seneca,Roman Philosophy,"day,life","moment,opportunity|year,life|fight,battle"
"If you have a garden and a library, you have everything you need.",Cicero,Roman Philosophy,"garden,library","wife,family|friend,family|cause,will"
"It is easier to find men who will volunteer to die, than to find those who are willing to endure pain with patience.",Julius Caesar,Roman Philosophy,die,
The universe is transformation: life is opinion.,Marcus Aurelius,Roman Philosophy,opinion,
Nothing happens to any man that he is not formed by nature to bear.,Marcus Aurelius,Roman Philosophy,nature,
Nowhere can man find a quieter or more untroubled retreat than in his own soul.,Marcus Aurelius,Roman Philosophy,soul,
"You have power over your mindâ€”not outside events. Realize this, and you will find strength.",Marcus Aurelius,Roman Philosophy,mind,
,,,,
Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill,Success,enthusiasm,"will,appetite,strength"
Never give in except to convictions of honor and good sense.,Winston Churchill,Success,"honor,good sense","humor,levity|duty,honor|love,patience"
Try not to become a man of success. Rather become a man of value.,Albert Einstein,Success,value,"knowledge,kindness,strength"
"I find that the harder I work, the more luck I seem to have.",Thomas Jefferson,Success,luck,"opportunities,chances,money"
Success is not final; failure is not fatal: It is the courage to continue that counts.,Winston Churchill,Success,courage,"will,choice,power"
The only limit to our realization of tomorrow will be our doubts of today.,Franklin D. Roosevelt,Success,doubts,"weakness,sloth,acquiescence"
"The successful warrior is the average man, with laser-like focus.",Bruce Lee,Success,laser-like,"tight,on-going,powerful"
"If you can dream it, you can do it.",Walt Disney,Success,dream,
We are all insects. Groping towards something terrible or divine.,"Philip K. Dick, The Man in the High Castle",Existential,"terrible,divine","weak,powerful|useless,foundational|joyous,saddening"
Life has no meaning the moment you lose the illusion of being eternal.,Jean-Paul Sartre,Existential,eternal,"material,in control,special"
We do not know what we want and yet we are responsible for what we are - that is the fact.,Jean-Paul Sartre,Existential,responsible,"seen,pained,judged"
I took a test in Existentialism. I left all the answers blank and got 100.,Woody Allen,Existential,Existentialism,"Comedy,Stoicism,History"
All life is an experiment. The more experiments you make the better.,Ralph Waldo Emerson,Existential,"experiment,experiments","test,mistakes|joke,laughs|battle,fights"
"There is something infantile in the presumption that somebody else has a responsibility to give your life meaning and point? The truly adult view, by contrast, is that our life is as meaningful, as full and as wonderful as we choose to make it.",Richard Dawkins,Existential,adult,
For small creatures such as we the vastness is bearable only through love.,Carl Sagan,Existential,vastness,
"Smooth and smiling faces everywhere, but ruin in their eyes.",Jean-Paul Sartre,Existential,ruin,
Society cares for the individual only so far as he is profitable.,Simone De Beauvoir,Existential,profitable,
"When an individual is kept in a situation of inferiority, the fact is that he does become inferior.",Simone De Beauvoir,Existential,"inferiority, inferior",
I opened myself to the gentle indifference of the world.,Albert Camus,Existential,indifference,
"The world is, of course, nothing but our conception of it.",Anton Chekhov,Existential,conception,
Convictions are more dangerous foes of truth than lies.,Nietzsche,Existential,Convictions,
Youth ends when egotism does; maturity begins when one lives for others.,"Hermann Hesse, Gertrude.",Existential,egotism,
There is no reality except in action.,Jean-Paul Sartre,Existential,action,
We love the things we love for what they are.,Robert Frost,Poetry,"love,love","hate,hate|fight,hate|love,hate"
"At the touch of a lover, everyone becomes a poet.",Plato,Poetry,lover,"friend,mother,dog"
I have loved the stars too fondly to be fearful of the night.,Sarah Williams,Poetry,stars,"moon,bats,dark"
"This is the way the world ends
Not with a bang but a whimper.",T.S. Eliot,Poetry,"bang,whimper","shout,silence|battle,stillness|laugh,cry"
"Because I could not stop for Death
He kindly stopped for me
The Carriage held but just Ourselves
And Immortality.",Emily Dickinson,Poetry,Death,"Love,Joy,Fate"
"Nature's first green is gold,
Her hardest hue to hold.
Her early leaf's a flower;
But only so an hour.
Then leaf subsides to leaf.
So Eden sank to grief,
So dawn goes down to day.
Nothing gold can stay.",Robert Frost,Poetry,"leaf's,Eden",